[I 2026-09-11 12:21:07,189] A new study created in RDB with name: chime_first_svae_opt
[I 2026-09-11 12:25:29,600] Trial 14 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 502, 'latent_dim': 23, 'beta': 1.9395685303651413, 'gamma': 1.7419455161091086, 'dropout_rate': 0.4884005351193475, 'lr': 0.004898711472328649, 'scheduler_patience': 5, 'class_weight': 0.4200410678083005, 'activation': 'ReLU', 'classification_multiplier': 11347.6905503243}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:25:46,482] Trial 15 finished with value: 0.8842105263157896 and parameters: {'hidden_dim': 151, 'latent_dim': 11, 'beta': 1.442949557619429, 'gamma': 1.2333127866195353, 'dropout_rate': 0.4211563904420726, 'lr': 0.009921681078887957, 'scheduler_patience': 3, 'class_weight': 0.2188969424441761, 'activation': 'LeakyReLU', 'classification_multiplier': 9106.278025680784}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:26:04,113] Trial 16 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 1214, 'latent_dim': 20, 'beta': 0.7664679048669828, 'gamma': 0.9398034490039572, 'dropout_rate': 0.2370754115974007, 'lr': 0.0060759271469940914, 'scheduler_patience': 4, 'class_weight': 0.7445936322869396, 'activation': 'ELU', 'classification_multiplier': 12159.981064219026}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:26:22,537] Trial 17 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 1714, 'latent_dim': 28, 'beta': 1.2220986460358225, 'gamma': 1.5072424643053153, 'dropout_rate': 0.4056188891204421, 'lr': 0.003789193096342994, 'scheduler_patience': 6, 'class_weight': 0.4702454854205049, 'activation': 'ELU', 'classification_multiplier': 7375.851783046893}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:26:39,692] Trial 18 finished with value: 0.912280701754386 and parameters: {'hidden_dim': 567, 'latent_dim': 15, 'beta': 1.6448571329321826, 'gamma': 1.7522797045267577, 'dropout_rate': 0.2904001218318647, 'lr': 0.00028868279681632317, 'scheduler_patience': 6, 'class_weight': 0.8417896558862606, 'activation': 'ELU', 'classification_multiplier': 9440.161312773505}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:26:56,715] Trial 19 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 367, 'latent_dim': 8, 'beta': 1.7907641264594272, 'gamma': 1.9996519653131408, 'dropout_rate': 0.1928611680636708, 'lr': 0.0024180883817910715, 'scheduler_patience': 2, 'class_weight': 0.6476916544633683, 'activation': 'ReLU', 'classification_multiplier': 10380.667229279255}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:27:14,836] Trial 20 finished with value: 0.912280701754386 and parameters: {'hidden_dim': 1573, 'latent_dim': 5, 'beta': 1.0693968767611786, 'gamma': 1.7611414262064988, 'dropout_rate': 0.35245333147868424, 'lr': 0.007054780187024663, 'scheduler_patience': 4, 'class_weight': 0.9883673316176549, 'activation': 'LeakyReLU', 'classification_multiplier': 12277.743283415824}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:27:32,447] Trial 21 finished with value: 0.9210526315789473 and parameters: {'hidden_dim': 1195, 'latent_dim': 20, 'beta': 0.7010771313529474, 'gamma': 0.8301248791298286, 'dropout_rate': 0.24527720941534148, 'lr': 0.005322716190507791, 'scheduler_patience': 4, 'class_weight': 0.7173025577306336, 'activation': 'ELU', 'classification_multiplier': 12169.599464967529}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:27:50,458] Trial 22 finished with value: 0.9087719298245615 and parameters: {'hidden_dim': 1498, 'latent_dim': 27, 'beta': 0.30908532053718074, 'gamma': 0.9494431825506437, 'dropout_rate': 0.18801999816192527, 'lr': 0.006199872861372434, 'scheduler_patience': 3, 'class_weight': 0.8425438618310399, 'activation': 'ELU', 'classification_multiplier': 8598.510733736699}. Best is trial 3 with value: 0.9245614035087719.
[I 2026-09-11 12:28:07,844] Trial 23 finished with value: 0.9210526315789473 and parameters: {'hidden_dim': 1023, 'latent_dim': 12, 'beta': 0.4379162275437858, 'gamma': 1.387663566789419, 'dropout_rate': 0.2719031536110672, 'lr': 0.004135704582669513, 'scheduler_patience': 5, 'class_weight': 0.6326334389513428, 'activation': 'ELU', 'classification_multiplier': 12332.991677469221}. Best is trial 3 with value: 0.9245614035087719.
