,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
2870,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20171020a_3147.png,3147,FRB20171020A,ASKAP,,0.0,PAF,1152-1488,58046.436523133,29.3,-51.3,19.5,114.1,+0.2/-0.2,,,117.6,,1.7,+0.2/-0.2,,,,200,+500/-100,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
5376,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010702a_5637.png,5637,FRB20010702A,Parkes,,0.0,13 beam,,52092.41870139,349.4568,-18.7726,7.9,105.0,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
5360,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010122a_5621.png,5621,FRB20010122A,Parkes,,0.0,13 beam,,51931.08858368,326.516,-14.31,7.2,128.6,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
3210,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20151128a_3125.png,3125,FRB20151128A,Pushchino,,0.0,LPA,109.75-112.25,57354.65550926,133.2,-31.07,7.2,273.0,+4/-4,,,0.52,,,,,,,2360,,,,,,,,,,,,,,,,https://doi.org/10.1134/S1063772919110039,0
3028,,3169,FRB20180714A,Parkes,,0.0,13 beam,1182-1582,58313.42269857,14.9,8.7,22.0,1467.92,+0.3/-0.2,,,0.6,,2.9,,,,,>1.85,+0.05/-0.05,,,91,+3/-3,5,+2/-2,-25.9,+5.9/-5.9,,,0.38,+0.08/-0.6,,,https://doi.org/10.1093/mnras/stz1751,2
3156,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190206b_3407.jpg,3407,FRB20190206B,CHIME,,0.0,,400-800,58520.581685719,129.56,18.58,17.7,352.52,+0.11/-0.11,,,0.95,+0.9/-0.9,19.66,,687.6,400.2,506.4,9.6,+6.3/-6.3,,,,,,,,,,,<9,,,,https://www.chime-frb.ca/catalog,1
3030,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180915a_3193.jpg,3193,FRB20180915A,CHIME,,0.0,,400-800,58376.1274981867,48.01,10.04,16.3,371.029,+0.01/-0.01,,,2.3,+1.4/-1.4,4.92,,800.2,400.2,571.9,6.2,+3.2/-3.2,,,,,,,,,,,0.88,+0.29/-0.29,,,https://www.chime-frb.ca/catalog,1
3231,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180119a_3153.png,3153,FRB20180119A,ASKAP,,0.0,PAF,1152-1488,58137.517450782,199.5,-50.4,15.9,402.7,+0.7/-0.7,,,40.7,,2.7,+0.5/-0.5,,,,110,+3/-3,,,,,,,,,,,,,,,https://doi.org/10.1038/s41586-018-0588-y,0
2927,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190420c_3544.jpg,3544,FRB20190420C,CHIME,,0.0,,400-800,58593.444763751,59.83,42.84,13.2,629.954,+0.059/-0.059,,,0.44,+0.17/-0.17,13.76,,700,400.2,400.2,4.13,+0.96/-0.96,,,,,,,,,,,8,+1.9/-1.9,,,https://www.chime-frb.ca/catalog,1
2960,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180729b_3173.jpg,3173,FRB20180729B,CHIME,,0.0,,400-800,58328.7279372735,156.9,15.68,22.0,317.2235,+0.0045/-0.0045,,,0.92,+0.59/-0.59,1.97,,800.2,441.8,657.5,1.2,+0.74/-0.74,,,,,,,,,,,0.66,+0.18/-0.18,,,https://www.chime-frb.ca/catalog,1
2900,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20140212a_3115.png,3115,FRB20140212A,Pushchino,,0.0,LPA,109.75-112.25,56700.43835648,133.1,-31.54,9.2,910.0,+4/-4,,,0.26,,,,,,,945,,,,,,,,,,,,,,,,https://doi.org/10.1134/S1063772919110039,0
3306,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190219c_3432.jpg,3432,FRB20190219C,CHIME,,0.0,,400-800,58533.8886004026,107.74,-10.91,12.4,806.688,+0.016/-0.016,,,0.4,+0.22/-0.22,4.92,,800.2,400.2,613.5,1.96,+0.86/-0.86,,,,,,,,,,,<2.6,,,,https://www.chime-frb.ca/catalog,1
3403,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190627a_3644.jpg,3644,FRB20190627A,CHIME,,0.0,,400-800,58661.115705815,309.73,63.46,14.7,404.2213,+0.0077/-0.0077,404.3,+0.1/-0.1,1.98,+0.68/-0.68,1.97,,634.6,400.2,474.6,2.62,+0.68/-0.68,,,102,+8/-8,,,-48.3,+0.6/-0.6,49.4,+0.7/-0.7,<0.8,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
