Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20131030A,Pushchino,No,00:25:00.0,,+39:58:48.0,,117.53,-22.61,203,64.4,,https://doi.org/10.1134/S1063772919110039
FRB20140212A,Pushchino,No,01:31:00.0,,+30:32:24.0,,133.1,-31.54,910,49.8,,https://doi.org/10.1134/S1063772919110039
FRB20190604A,CHIME,Yes,14:35:07.2,0.16,+53:16:48.0,0.17,93.8,57.6,552.65,32,24,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20110703A,Parkes,No,23:30:00.0,,-02:52:00.0,,80.68,-58.89,1103.6,32.33,,https://doi.org/10.1126/science.1236789
FRB20130628A,Parkes,No,09:03:02.0,,+03:26:16.0,,225.96,30.66,469.88,53,,https://doi.org/10.1093/mnrasl/slw069
FRB20131104A,Parkes,No,06:44:10.4,,-51:16:40.0,,260.56,-21.93,779,71.1,,https://iopscience.iop.org/article/10.1088/2041-8205/799/1/L5
FRB20150807A,Parkes,No,22:40:23.0,0.001,-53:16:00.0,0.03,336.71,-54.39,266.5,36.9,,https://doi.org/10.1126/science.aaf6807
FRB20170107A,ASKAP,No,11:23:10.0,0.008,-05:01:00.0,0.13,266.05,51.42,609.5,35,27,https://doi.org/10.3847/2041-8213/aa71ff
FRB20110627A,Parkes,No,21:03:00.0,,-44:44:00.0,,355.87,-41.63,723,47.46,,https://doi.org/10.1126/science.1236789
FRB20150215A,Parkes,No,18:17:27.0,,-04:54:15.0,,24.66,5.28,1105.6,427,275,https://doi.org/10.1093/mnras/stx1098
FRB20181119A,CHIME,Yes,12:42:07.2,0.13,+65:07:48.0,0.23,124.5,52.0,364.05,34,26,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20151230A,Parkes,No,09:40:50.0,,-03:27:05.0,,238.96,34.82,960.4,,38,https://doi.org/10.1093/mnras/stx3074
FRB20121002A,Parkes,No,18:14:47.0,,-85:11:53.0,,308.22,-26.26,1629.18,74.27,,https://doi.org/10.1093/mnrasl/slw069
FRB20161202A,Pushchino,No,23:44:00.0,,+40:48:00.0,,109.48,-20.32,291,69.8,,https://doi.org/10.1134/S1063772919110039
FRB20190303A,CHIME,Yes,13:52:07.2,0.13,+48:14:24.0,0.22,97.5,65.7,222.4,29,22,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20160920A,Pushchino,No,05:34:02.0,,+41:43:07.0,,167.9,4.78,1767,,250,https://doi.org/10.1134/S1063772919010037
FRB20120127A,Parkes,No,23:15:00.0,,-18:25:00.0,,49.29,-66.18,553.3,31.82,,https://doi.org/10.1126/science.1236789
FRB20121029A,Pushchino,No,00:12:00.0,,+42:03:36.0,,115.32,-20.24,732,71,,https://doi.org/10.1134/S1063772919110039
FRB20141113A,Arecibo,No,06:12:59.6,0.03,+18:47:59.8,0.03,191.9,0.36,400.3,188,296,https://doi.org/10.3847/1538-4357/aaee65
FRB20110214A,Parkes,No,01:21:17.0,,-49:47:11.0,,290.73,-66.63,168.8,31,21,https://doi.org/10.1093/mnras/sty2909
FRB20190907A,CHIME,Yes,08:09:00.0,0.18,+46:16:00.0,0.23,173.4,32.3,309.6,53,51,https://doi.org/10.3847/2041-8213/ab7208
FRB20201124A,CHIME,Yes,05:08:03.5,0.51,+26:03:38.5,0.53,177.6,-8.5,410.83,140.58,,"[https://www.wis-tns.org/object/20201124A, https://www.chime-frb.ca/repeater_catalog]"
FRB20140514A,Parkes,No,22:34:06.2,,-12:18:46.5,,50.84,-54.61,562.7,34.9,,https://doi.org/10.1093/mnras/stu2419
FRB20160206A,Pushchino,No,01:01:00.0,,+41:37:48.0,,124.9,-21.2,1262,69.1,,https://doi.org/10.1134/S1063772919110039
FRB20180301A,Parkes,Yes,06:12:43.4,,+04:33:45.4,,204.412,-6.481,522,,,https://doi.org/10.1093/mnras/stz958
FRB20190212A,CHIME,Yes,18:24:33.6,0.21,+81:25:48.0,0.19,113.3,27.8,302,49,44,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20181030A,CHIME,Yes,10:33:24.0,0.18,+73:47:24.0,0.31,133.4,40.9,103.5,40,32,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20180814A,CHIME,Yes,04:22:09.6,0.19,+73:37:47.9,0.27,136.46,16.58,189.4,87,100,"[https://doi.org/10.1038/s41586-018-0864-x, https://www.chime-frb.ca/catalog]"
FRB20151206A,Parkes,No,19:21:25.0,,-04:07:54.0,,32.65,-8.55,1909.8,,160,https://doi.org/10.1093/mnras/stx3074
FRB20130729A,Parkes,No,13:41:21.0,,-05:59:43.0,,324.788,54.745,861,31,,https://doi.org/10.1093/mnrasl/slw069
FRB20190209A,CHIME,Yes,09:37:16.8,0.22,+77:40:12.0,0.28,134.2,34.8,425,46,39,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20190417A,CHIME,Yes,19:39:24.0,0.2,+59:24:00,0.27,91.5,17.4,1378.2,78,80,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20200120E,CHIME,Yes,09:57:56.7,0.01,+68:49:32.0,0.02,142.19,41.22,87.82,40,35,https://doi.org/10.3847/2041-8213/abeaa6
FRB20010125A,Parkes,No,19:06:53.0,,-40:37:14.4,,356.64,-20.02,790,680,,https://iopscience.iop.org/article/10.1088/0004-637X/792/1/19
FRB20151018A,Pushchino,No,05:21:10.0,,+33:15:10.0,,173.53,-2.04,570,275,,https://doi.org/10.1134/S1063772919010037
FRB20151128A,Pushchino,No,01:32:00.0,,+30:58:48.0,,133.2,-31.07,273,50.2,,https://doi.org/10.1134/S1063772919110039
FRB20150610A,Parkes,No,10:44:26.0,,-40:05:23.0,,278.09,16.58,1593.9,,122,https://doi.org/10.1093/mnras/stx3074
FRB20180908B,CHIME,Yes,12:32:52.8,0.28,+74:11:23.9,0.31,124.7,42.9,195.6,38,31,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20190117A,CHIME,Yes,22:06:50.4,0.15,+17:22:12.0,0.26,76.4,-30.3,393.6,48,40,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20190222A,CHIME,Yes,20:52:14.4,0.17,+69:49:48.0,0.21,104.9,15.9,460.6,87,100,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20010621A,Parkes,No,18:52:00.5,,-08:31:17.7,,25.43,-4.0,745,533,,https://doi.org/10.1111/j.1365-2966.2011.18917.x
FRB20010724A,Parkes,No,01:18:06.0,0.12,-75:12:19.0,0.12,300.65,-41.81,375,44.58,,https://doi.org/10.1126/science.1147532
FRB20150418A,Parkes,No,07:16:35.0,8.3e-4,-19:00:40.0,2.8e-4,232.67,-3.23,776.2,188.5,,https://doi.org/10.1038/nature17140
FRB20181128A,CHIME,Yes,04:55:40.8,0.14,+63:13:12.0,0.073,146.6,12.4,450.5,110,150,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20190116B,CHIME,Yes,12:49:19.2,0.15,+27:09:00.0,0.24,210.5,89.5,441,20,20,"[https://doi.org/10.3847/2041-8213/ab4a80, https://www.chime-frb.ca/catalog]"
FRB20190213A,CHIME,Yes,02:06:52.8,0.25,+20:04:48.0,0.3,148.1,-38.7,651.45,43,34,"[https://doi.org/10.3847/2041-8213/ab7208, https://www.chime-frb.ca/catalog]"
FRB20010312A,Parkes,No,05:26:54.9,,-64:56:19.2,,274.72,-33.3,1187,51,55,https://doi.org/10.1093/mnrasl/slz023
FRB20160410A,UTMOST,No,08:41:25.0,0.03,+06:05:05.0,0.03,220.36,27.19,278,57.7,62.5,https://doi.org/10.1093/mnras/stx638
FRB20160608A,UTMOST,No,07:36:42.0,0.003,-40:47:52.0,4.2,254.11,-9.54,682,238.3,310.3,https://doi.org/10.1093/mnras/stx638
FRB20190520B,FAST,Yes,16:02:04.3,2.8e-5,-11:17:17.3,2.2e-5,359.67,29.91,1204.7,60,50,https://doi.org/10.1038/s41586-022-04755-5
FRB20141216A,Pushchino,No,00:14:00.0,,+41:38:24.0,,115.55,-20.7,545,69.5,,https://doi.org/10.1038/nature17140
FRB20160102A,Parkes,No,22:38:49.0,,-30:10:50.0,,18.98,-60.85,2596.1,,13,https://doi.org/10.1093/mnras/stx3074
FRB20170428A,ASKAP,No,21:47:00.0,0.03,-41:51:00.0,0.33,359.21,-49.8,991.7,40,,https://doi.org/10.1038/s41586-018-0588-y
FRB20170416A,ASKAP,No,22:13:00.0,0.02,-55:02:00.0,0.15,337.62,-50.05,523.2,40,,https://doi.org/10.1038/s41586-018-0588-y
FRB20170922A,UTMOST,No,21:29:51.2,0.003,-07:59:40.5,4,45.07,-38.7,1111,45,,https://doi.org/10.1093/mnras/stz1748
FRB20170906A,ASKAP,No,21:59:48.0,0.07,-19:57:00.0,0.17,34.2,-49.5,390.3,39,,https://doi.org/10.1038/s41586-018-0588-y
FRB20170606A,Pushchino,No,05:34:02.0,,+41:43:07.0,,167.9,4.78,247,,250,https://doi.org/10.1134/S1063772919010037
FRB20180725A,CHIME,No,06:13:41.0,0.039,+67:04:12.0,0.21,147.29,21.29,715.8093,71.6093,80.4093,https://www.chime-frb.ca/catalog
FRB20180904A,CHIME,No,19:06:19.2,0.052,+81:13:12.0,0.16,113.16,26.22,361.13741,55.43741,52.73741,https://www.chime-frb.ca/catalog
FRB20171213A,ASKAP,No,03:39:00.0,0.03,-10:56:00.0,0.33,200.6,-48.3,158.6,36,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180311A,Parkes,No,21:31:33.0,,-57:44:26.0,,337.4,-43.7,1570.9,45.2,32,https://doi.org/10.1093/mnras/stz1751
FRB20180810A,CHIME,No,06:45:52.8,0.13,+34:51:36.0,0.24,180.67,14.06,414.8804,104.6804,140.1804,https://www.chime-frb.ca/catalog
FRB20181022D,CHIME,No,11:56:43.2,0.16,+36:31:48.0,0.16,170.49,75.08,514.33426,20.13426,17.63426,https://www.chime-frb.ca/catalog
FRB20181027A,CHIME,No,08:47:36.0,0.22,-04:14:24.0,0.34,231.12,23.4,727.744,64.044,57.744,https://www.chime-frb.ca/catalog
FRB20181102A,CHIME,No,05:48:52.8,0.22,+15:37:48.0,0.27,191.81,-6.21,414.4649,155.6649,246.4649,https://www.chime-frb.ca/catalog
FRB20181202C,CHIME,No,20:28:31.2,0.18,+57:01:48.0,0.2,92.62,10.57,557.1604,126.4604,161.7604,https://www.chime-frb.ca/catalog
FRB20181203C,CHIME,No,13:13:55.2,0.1,+72:56:24.0,0.19,120.64,44.09,2444.57,37.47,29.87,https://www.chime-frb.ca/catalog
FRB20181226B,CHIME,No,12:10:38.4,0.039,+12:25:48.0,0.2,267.9,72.47,287.0364,27.7364,20.7364,https://www.chime-frb.ca/catalog
FRB20190107A,CHIME,No,00:03:26.4,0.25,+21:48:36.0,0.28,108.4,-39.7,849.19,39.89,31.89,https://www.chime-frb.ca/catalog
FRB20190110B,CHIME,No,08:46:43.2,0.21,+50:09:36.0,0.21,168.91,38.68,486.118,45.518,36.818,https://www.chime-frb.ca/catalog
FRB20190113A,CHIME,Yes,07:12:33.6,0.25,-02:59:24.0,0.39,218.01,3.33,428.924,178.924,252.524,https://www.chime-frb.ca/catalog
FRB20190117D,CHIME,No,13:55:28.8,0.14,+31:40:48.0,0.2,54.84,75.35,1178.063,22.563,20.463,https://www.chime-frb.ca/catalog
FRB20190122A,CHIME,No,23:18:14.4,0.22,+37:30:00.0,0.23,103.18,-21.77,1231.21,64.61,55.81,https://www.chime-frb.ca/catalog
FRB20190124B,CHIME,No,14:18:45.6,0.089,+28:48:00.0,0.17,42.99,70.67,441.3838,21.5838,21.0838,https://www.chime-frb.ca/catalog
FRB20190125A,CHIME,No,03:02:55.2,0.24,+27:48:36.0,0.26,155.42,-26.64,564.701,60.401,58.301,https://www.chime-frb.ca/catalog
FRB20190203A,CHIME,No,08:54:43.2,0.17,+70:49:12.0,0.19,143.2,35.48,420.5727,45.8727,38.8727,https://www.chime-frb.ca/catalog
FRB20190212D,CHIME,No,11:55:19.2,0.25,+66:43:12.0,0.25,131.41,49.47,1139.765,35.365,26.765,https://www.chime-frb.ca/catalog
FRB20190213C,CHIME,No,04:17:02.4,0.22,+45:00:00.0,0.23,156.57,-4.02,357.0634,175.9634,236.7634,https://www.chime-frb.ca/catalog
FRB20190228A,CHIME,No,12:13:55.2,0.005,+22:54:00.0,0.12,237.34,80.51,419.0825,20.1825,19.5825,https://www.chime-frb.ca/catalog
FRB20190304B,CHIME,No,13:39:26.4,0.19,+24:11:24.0,0.21,20.4,78.8,470.0053,22.6053,20.2053,https://www.chime-frb.ca/catalog
FRB20190308B,CHIME,No,02:34:21.6,0.04,+83:37:12.0,0.3,125.9,21.35,180.18,68.68,74.18,https://www.chime-frb.ca/catalog
FRB20190317C,CHIME,No,08:23:16.8,0.22,+32:04:12.0,0.24,190.52,32.43,598.263,53.563,54.463,https://www.chime-frb.ca/catalog
FRB20190325B,CHIME,No,12:15:40.8,0.22,+30:19:12.0,0.071,188.67,81.54,1733.918,19.818,19.118,https://www.chime-frb.ca/catalog
FRB20190329C,CHIME,No,18:39:09.6,0.023,+51:37:48.0,0.14,80.69,22.77,1256.3592,60.3592,54.5592,https://www.chime-frb.ca/catalog
FRB20190403F,CHIME,No,02:53:21.6,0.2,+33:08:24.0,0.2,150.44,-23.14,664.184,67.384,66.684,https://www.chime-frb.ca/catalog
FRB20190410A,CHIME,No,17:33:52.8,0.23,-02:22:12.0,0.38,21.65,16.04,284.02,128.52,116.52,https://www.chime-frb.ca/catalog
FRB20190519E,CHIME,No,11:13:07.2,0.2,+41:39:00.0,0.2,170.75,65.2,693.8297,27.5297,16.5297,https://www.chime-frb.ca/catalog
FRB20190519J,CHIME,No,19:44:50.4,0.085,+86:55:48.0,0.3,119.6,26.38,642.759,56.059,53.659,https://www.chime-frb.ca/catalog
FRB20190520A,CHIME,No,18:14:04.8,0.026,+26:19:12.0,0.094,53.3,19.37,432.5063,79.7063,65.2063,https://www.chime-frb.ca/catalog
FRB20190622A,CHIME,No,19:55:55.2,0.24,+85:48:36.0,0.3,118.46,25.89,1122.818,56.818,54.718,https://www.chime-frb.ca/catalog
FRB20190624A,CHIME,No,11:13:16.8,0.2,+69:46:48.0,0.051,134.65,45.05,973.847,37.847,29.147,https://www.chime-frb.ca/catalog
FRB20190625C,CHIME,No,04:52:48.0,0.21,+11:06:00.0,0.051,188.2,-20.14,442.2388,76.1388,104.9388,https://www.chime-frb.ca/catalog
FRB20190630C,CHIME,No,04:33:31.2,0.22,+80:57:00.0,0.092,130.96,21.78,1660.347,68.047,73.447,https://www.chime-frb.ca/catalog
FRB20170707A,ASKAP,No,02:59:00.0,0.03,-57:16:00.0,0.33,269.1,-50.5,235.2,36,,https://doi.org/10.1038/s41586-018-0588-y
FRB20170827A,UTMOST,No,00:49:18.7,0.001,-65:33:02.3,1.2,303.29,-51.58,176.8,37,26,https://doi.org/10.1093/mnras/sty1122
FRB20180128B,ASKAP,No,22:22:00.0,0.03,-60:15:00.0,0.18,327.8,-48.6,495.9,40,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180130A,ASKAP,No,21:52:12.0,0.15,-38:34:00.0,0.17,5.9,-51.8,343.5,39,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180212A,ASKAP,No,14:21:00.0,0.03,-03:35:00.0,0.5,338.3,50.0,167.5,33,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180918A,CHIME,No,20:05:04.8,0.22,+64:57:36.0,0.2,98.09,17.11,1453.9882,79.9882,86.0882,https://www.chime-frb.ca/catalog
FRB20180924B,ASKAP,No,21:44:25.26,2.22e-6,-40:54:00.1,2.78e-5,0.7424,-49.4147,361.42,40,,"[https://doi.org/10.1126/science.aaw5903, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20181018A,CHIME,No,01:08:07.2,0.22,+51:33:00.0,0.23,125.57,-11.24,1129.449,120.949,129.749,https://www.chime-frb.ca/catalog
FRB20181018C,CHIME,No,04:28:36.0,0.17,+37:34:12.0,0.17,163.43,-7.68,411.1927,146.1927,190.4927,https://www.chime-frb.ca/catalog
FRB20181019B,CHIME,No,02:31:29.0,0.22,+68:10:48.0,0.24,132.04,7.1,725.184,159.784,251.984,https://www.chime-frb.ca/catalog
FRB20181019C,CHIME,No,16:18:48.0,0.25,+66:16:12.0,0.24,98.65,39.7,501.6356,39.2356,32.5356,https://www.chime-frb.ca/catalog
FRB20181030E,CHIME,No,09:02:40.8,0.012,+08:53:24.0,0.19,220.25,33.16,159.6902,49.8902,45.9902,https://www.chime-frb.ca/catalog
FRB20181203B,CHIME,No,03:09:14.4,0.004,+24:01:12.0,0.12,159.14,-29.0,375.3871,56.6871,53.8871,https://www.chime-frb.ca/catalog
FRB20181213A,CHIME,No,08:30:38.4,0.2,+73:52:12.0,0.1,140.39,32.8,678.672,48.572,42.772,https://www.chime-frb.ca/catalog
FRB20181220A,CHIME,No,23:04:26.0,0.16,+48:25:48.0,0.16,105.24,-10.73,209.4017,125.8017,122.1017,https://www.chime-frb.ca/catalog
FRB20181220B,CHIME,No,18:29:28.8,0.22,+84:52:12.0,0.3,117.17,27.5,257.7994,53.5994,50.1994,https://www.chime-frb.ca/catalog
FRB20181222D,CHIME,No,12:32:48.0,0.23,+56:09:36.0,0.084,128.25,60.78,1417.11,31.21,22.61,https://www.chime-frb.ca/catalog
FRB20181222E,CHIME,No,03:22:33.6,0.044,+86:58:12.0,0.25,124.97,24.72,327.9797,59.8797,59.7797,https://www.chime-frb.ca/catalog
FRB20190109B,CHIME,No,16:53:52.8,0.23,+01:15:00.0,0.33,19.73,26.53,175.168,68.268,53.468,https://www.chime-frb.ca/catalog
FRB20190110C,CHIME,Yes,16:27:55.2,0.19,+41:25:12.0,0.05,65.52,43.85,221.961,35.661,28.961,https://www.chime-frb.ca/catalog
FRB20190210D,CHIME,No,20:31:12.0,0.082,+55:27:36.0,0.18,91.53,9.37,359.1477,141.2477,189.0477,https://www.chime-frb.ca/catalog
FRB20190222B,CHIME,No,10:42:45.6,0.22,+19:37:12.0,0.058,220.29,59.62,497.619,33.219,22.219,https://www.chime-frb.ca/catalog
FRB20190301C,CHIME,No,11:27:19.2,0.23,+34:55:48.0,0.23,184.3,70.42,802.913,20.513,12.213,https://www.chime-frb.ca/catalog
FRB20190320C,CHIME,No,16:58:55.2,0.22,+22:22:48.0,0.25,42.68,34.17,368.7898,47.0898,37.3898,https://www.chime-frb.ca/catalog
FRB20190325A,CHIME,No,08:41:38.4,0.22,+83:04:12.0,0.26,130.04,30.15,359.289,50.989,46.389,https://www.chime-frb.ca/catalog
FRB20190403D,CHIME,No,21:46:07.2,0.26,+84:17:24.0,0.29,118.44,23.12,613.458,62.958,63.758,https://www.chime-frb.ca/catalog
FRB20190412B,CHIME,No,19:02:36.0,0.22,+19:15:00.0,0.25,51.37,6.28,375.75,264.85,265.65,https://www.chime-frb.ca/catalog
FRB20190422B,CHIME,No,10:33:04.8,0.21,+45:40:12.0,0.078,169.59,56.95,977.386,34.086,21.686,https://www.chime-frb.ca/catalog
FRB20190425A,CHIME,No,17:02:52.8,0.14,+21:31:12.0,0.18,42.06,33.02,128.15774,48.75774,38.85774,https://www.chime-frb.ca/catalog
FRB20190515D,CHIME,No,04:28:31.2,0.21,-05:00:36.0,0.34,199.88,-33.89,426.0611,47.7611,59.0611,https://www.chime-frb.ca/catalog
FRB20190518D,CHIME,No,11:38:52.8,0.33,+89:18:36.0,0.24,123.17,27.78,202.4551,53.9551,50.6551,https://www.chime-frb.ca/catalog
FRB20190519F,CHIME,No,11:02:31.2,0.2,+77:13:48.0,0.22,130.34,38.29,797.766,42.066,34.566,https://www.chime-frb.ca/catalog
FRB20190630B,CHIME,No,21:52:50.4,0.15,+43:00:36.0,0.14,91.6,-8.74,652.145,150.545,134.945,https://www.chime-frb.ca/catalog
FRB20190701C,CHIME,No,06:25:26.4,0.23,+81:37:48.0,0.27,132.18,25.88,974.195,58.395,57.595,https://www.chime-frb.ca/catalog
FRB20191021A,CHIME,No,08:19:52.8,0.11,+46:24:00.0,0.18,173.46,34.14,386.58,50.9,,https://www.wis-tns.org/object/20191021a
FRB20191107B,UTMOST,No,08:01:57.1,0.001,-13:44:15.5,1.2,233.396,8.829,714.25,127.2,145.9,https://astronomy.swin.edu.au/research/utmost/?p=1767
FRB20171020A,ASKAP,No,22:15:00.0,0.05,-19:40:00.0,0.67,29.3,-51.3,114.1,38,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180119A,ASKAP,No,03:29:18.0,0.08,-12:44:00.0,0.13,199.5,-50.4,402.7,36,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180928A,CHIME,No,20:51:48.0,0.04,+30:51:00.0,0.053,74.23,-8.58,252.7681,158.0681,116.8681,https://www.chime-frb.ca/catalog
FRB20181012B,CHIME,No,13:45:19.2,0.21,+64:09:00.0,0.065,113.44,51.97,715.189,33.489,25.789,https://www.chime-frb.ca/catalog
FRB20181030D,CHIME,No,05:27:09.6,0.18,+16:04:12.0,0.21,188.68,-10.44,289.4422,123.5422,186.3422,https://www.chime-frb.ca/catalog
FRB20181119C,CHIME,No,12:40:24.0,0.17,+82:09:36.0,0.21,123.39,34.96,284.9594,44.6594,37.9594,https://www.chime-frb.ca/catalog
FRB20181130A,CHIME,No,23:40:45.6,0.031,+46:29:24.0,0.17,110.46,-14.66,220.0896,95.0896,90.1896,https://www.chime-frb.ca/catalog
FRB20181201A,CHIME,No,14:19:50.4,0.19,+39:16:12.0,0.19,71.98,67.97,694.356,23.956,21.456,https://www.chime-frb.ca/catalog
FRB20181203A,CHIME,No,02:14:24.0,0.027,+23:34:12.0,0.19,146.43,-35.49,635.9255,46.7255,38.6255,https://www.chime-frb.ca/catalog
FRB20181213C,CHIME,No,14:25:36.0,0.25,+47:27:36.0,0.23,87.04,62.58,380.736,30.536,22.536,https://www.chime-frb.ca/catalog
FRB20181223B,CHIME,No,11:39:33.6,0.22,+21:35:24.0,0.24,227.74,72.74,565.655,25.455,19.955,https://www.chime-frb.ca/catalog
FRB20181223C,CHIME,No,12:04:12.0,0.19,+27:34:48.0,0.2,207.75,79.51,112.5118,19.9118,19.1118,https://www.chime-frb.ca/catalog
FRB20181230D,CHIME,No,17:01:12.0,0.21,+50:30:36.0,0.21,77.36,37.86,223.9665,40.5665,32.9665,https://www.chime-frb.ca/catalog
FRB20181231B,CHIME,No,08:35:04.8,0.2,+55:59:24.0,0.18,161.71,36.55,197.1697,46.8697,39.2697,https://www.chime-frb.ca/catalog
FRB20181231C,CHIME,No,13:08:21.6,0.2,+69:10:48.0,0.21,120.69,47.87,556.086,35.486,27.686,https://www.chime-frb.ca/catalog
FRB20190206A,CHIME,No,16:19:24.0,0.22,+09:21:36.0,0.26,23.27,37.95,188.3364,41.4364,35.5364,https://www.chime-frb.ca/catalog
FRB20190210B,CHIME,No,06:56:43.2,0.16,+23:42:00.0,0.16,192.11,11.66,624.1879,116.4879,164.0879,https://www.chime-frb.ca/catalog
FRB20190210E,CHIME,No,20:54:36.0,0.28,+86:40:12.0,0.31,119.77,25.39,580.58,57.88,56.38,https://www.chime-frb.ca/catalog
FRB20190211A,CHIME,No,04:28:14.4,0.19,+68:38:24.0,0.2,140.63,13.59,1188.256,103.856,137.756,https://www.chime-frb.ca/catalog
FRB20190221B,CHIME,No,19:07:04.8,0.21,+27:51:36.0,0.22,59.62,9.17,393.124,165.524,153.124,https://www.chime-frb.ca/catalog
FRB20190224E,CHIME,No,12:12:09.6,0.034,+61:32:24.0,0.13,131.07,54.96,435.8612,33.0612,24.4612,https://www.chime-frb.ca/catalog
FRB20190326A,CHIME,No,10:47:36.0,0.22,+74:13:12.0,0.24,133.5,40.27,283.3113,40.7113,32.8113,https://www.chime-frb.ca/catalog
FRB20190402A,CHIME,No,11:54:26.4,0.23,+47:06:00.0,0.22,148.44,67.11,1291.69,26.39,19.99,https://www.chime-frb.ca/catalog
FRB20190405A,CHIME,No,22:28:04.8,0.23,+20:57:36.0,0.27,83.44,-30.71,424.884,47.284,39.684,https://www.chime-frb.ca/catalog
FRB20190430B,CHIME,No,15:50:52.8,0.23,+62:16:12.0,0.24,95.69,44.2,2619.399,36.399,29.399,https://www.chime-frb.ca/catalog
FRB20190430C,CHIME,Yes,18:28:52.8,0.23,+24:55:12.0,0.22,53.26,15.75,400.561,99.061,83.161,https://www.chime-frb.ca/catalog
FRB20190501B,CHIME,No,17:25:48.0,0.19,+54:21:36.0,0.18,82.03,34.05,784.068,43.568,36.468,https://www.chime-frb.ca/catalog
FRB20190606B,CHIME,No,07:15:09.6,0.18,+86:51:00.0,0.19,126.46,27.41,277.486,55.086,52.286,https://www.chime-frb.ca/catalog
FRB20190608A,CHIME,No,23:56:55.2,0.22,+19:10:12.0,0.24,105.55,-41.85,722.1756,38.3756,30.4756,https://www.chime-frb.ca/catalog
FRB20190619A,CHIME,No,11:00:43.2,0.22,+68:22:12.0,0.23,137.1,45.59,899.9116,37.6116,28.8116,https://www.chime-frb.ca/catalog
FRB20190627B,CHIME,No,17:05:36.0,0.14,+40:47:24.0,0.13,65.18,36.74,430.3224,42.0224,33.6224,https://www.chime-frb.ca/catalog
FRB20191219F,CHIME,No,15:05:09.6,0.18,+85:26:24.0,1.35,120.01,30.9,464.22,49.39,,https://www.wis-tns.org/object/20191219f
FRB20171116A,ASKAP,No,03:31:00.0,0.1,-17:14:00.0,0.17,205.0,-49.8,618.5,36,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180515A,ASKAP,No,23:13:12.0,0.12,-42:14:46.0,0.12,349.5,-64.93,355.2,33,19,https://doi.org/10.1093/mnras/stz804
FRB20180907E,CHIME,No,11:11:31.2,0.24,+47:05:24.0,0.23,160.75,62.04,383.36,30.46,20.06,https://www.chime-frb.ca/catalog
FRB20180923B,Parkes,No,15:10:55.4,0.125,-14:06:10.2,0.125,346.66,36.66,548,46.6,39,https://www.astronomerstelegram.org/?read=12060
FRB20180923D,CHIME,No,11:16:19.2,0.02,+48:45:00.0,0.07,156.94,61.62,329.3996,30.6996,20.6996,https://www.chime-frb.ca/catalog
FRB20181014B,CHIME,No,05:14:14.4,0.11,+14:39:36.0,0.2,188.17,-13.82,887.972,102.572,150.572,https://www.chime-frb.ca/catalog
FRB20181015A,CHIME,No,11:43:02.4,0.22,+83:34:48.0,0.27,125.18,33.25,568.8231,46.5231,40.4231,https://www.chime-frb.ca/catalog
FRB20181117C,CHIME,No,03:32:50.4,0.17,+25:43:48.0,0.18,162.76,-24.4,1773.7387,66.1387,68.5387,https://www.chime-frb.ca/catalog
FRB20181123A,CHIME,No,20:03:02.4,0.023,+55:52:12.0,0.18,89.71,12.94,798.718,103.818,117.918,https://www.chime-frb.ca/catalog
FRB20181202B,CHIME,No,13:31:19.2,0.2,+64:43:12.0,0.2,116.05,51.87,825.8834,33.6834,25.8834,https://www.chime-frb.ca/catalog
FRB20181214D,CHIME,No,11:54:16.8,0.2,+46:42:36.0,0.19,149.07,67.41,1177.319,26.019,19.819,https://www.chime-frb.ca/catalog
FRB20181216A,CHIME,No,20:25:07.2,0.22,+53:31:48.0,0.23,89.41,9.0,542.7376,146.7376,195.2376,https://www.chime-frb.ca/catalog
FRB20181218C,CHIME,No,19:03:55.2,0.23,+58:14:24.0,0.24,88.61,21.24,384.153,64.353,61.453,https://www.chime-frb.ca/catalog
