Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference
"",23,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57510.838080436,174.89,-0.23,,560.5,,,,,,2,+0.2/-0.2,>1730,1463,,0.19,,4.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",25,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.531624205,174.89,-0.23,,560.5,,,,,,2.7,+0.2/-0.2,>1730,1399,,0.3,,7.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_52.jpg,52,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.506902197,174.89,-0.23,,560.5,,,,,,3.1,+0.4/-0.4,1425,<1150,,0.12,,2.9E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",22,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57510.826409121,174.89,-0.23,,560.5,,,,,,3.4,+0.2/-0.2,>1730,1311,,0.27,,1.0E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",28,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.534122385,174.89,-0.23,,560.5,,,,,,0.9,+0.2/-0.2,>1730,1589,,0.1,,1.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_36.jpg,36,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.481112991,174.89,-0.23,,560.5,,,,,,3.7,+0.6/-0.6,>1730,1247,,2.1,,7.0E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",48,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.502912891,174.89,-0.23,,560.5,,,,,,3.1,+0.5/-0.5,>1730,1311,,0.09,,3.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",29,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57607.536338605,174.89,-0.23,,560.5,,,,,,2.1,+0.3/-0.3,1564,<1150,,0.09,,2.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",51,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.506322494,174.89,-0.23,,560.5,,,,,,1.4,+0.3/-0.3,>1730,1399,,0.07,,2.1E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",21,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57510.819153558,174.89,-0.23,,560.5,,,,,,2.2,+0.3/-0.3,>1730,1425,,0.11,,2.9E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",54,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.507729126,174.89,-0.23,,560.5,,,,,,1.7,+0.1/-0.1,>1730,<1150,,0.15,,7.1E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",59,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.509636188,174.89,-0.23,,560.5,,,,,,1.3,+0.2/-0.2,>1730,1589,,0.18,,2.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_2.jpg,2,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57159.737600835,174.89,-0.23,,560,"+2/-2 ",,,0.03,,3.8,+0.4/-0.4,,,,0.1,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
"",55,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.507815317,174.89,-0.23,,560.5,,,,,,0.7,+0.1/-0.1,>1730,1323,,0.05,,1.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",62,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.512697033,174.89,-0.23,,560.5,,,,,,1.83,+0.06/-0.06,1602,<1150,,0.29,,1.1E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",35,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.480578851,174.89,-0.23,,560.5,,,,,,6,+1/-1,>1730,1589,,0.39,,4.6E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",42,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.494855658,174.89,-0.23,,560.5,,,,,,1.2,+0.2/-0.2,>1730,1627,,0.21,,2.0E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_8.jpg,8,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.743510388,174.89,-0.23,,556.5,+0.7/-0.7,,,0.14,,6.6,+0.1/-0.1,,,,0.9,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_9.jpg,9,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57175.745665832,174.89,-0.23,,557.4,+0.7/-0.7,,,0.05,,6,+0.3/-0.3,,,,0.3,,,,,,,,,,,,,,,,https://www.nature.com/articles/nature17168
"",18,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57364.204636306,174.89,-0.23,,560.5,,,,,,0.68,+0.05/-0.05,>1730,1184,,0.08,,4.0E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",20,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57510.807219384,174.89,-0.23,,560.5,,,,,,2.27,+0.09/-0.09,>1730,1184,,0.29,,1.4E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_40.jpg,40,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.492513891,174.89,-0.23,,560.5,,,,,,1,+0.3/-0.3,1589,1425,,0.12,,1.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",50,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.506268583,174.89,-0.23,,560.5,,,,,,7,+2/-2,>1730,1273,,0.08,,3.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",63,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.513259158,174.89,-0.23,,560.5,,,,,,2.9,+0.3/-0.3,>1730,1184,,0.1,,4.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",74,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.532413646,174.89,-0.23,,560.5,,,,,,3,+0.6/-0.6,>1730,1311,,0.07,,2.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",105,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57628.461368709,174.89,-0.23,,560.5,,,,,,1.1,+0.4/-0.4,>1730,1665,,0.08,,3.6E36,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",81,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.555656603,174.89,-0.23,,560.5,,,,,,2.6,+0.7/-0.7,1678,1260,,0.08,,2.6E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",65,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.516825584,174.89,-0.23,,560.5,,,,,,3.3,+0.6/-0.6,1653,1374,,0.11,,2.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",66,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.520871905,174.89,-0.23,,560.5,,,,,,1.9,+0.4/-0.4,>1730,1475,,0.1,,2.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",73,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.532182204,174.89,-0.23,,560.5,,,,,,1,+0.2/-0.2,1551,1323,,0.1,,1.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",78,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.547262042,174.89,-0.23,,560.5,,,,,,1.64,+0.05/-0.05,>1730,1260,,0.4,,1.6E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",68,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57614.523279548,174.89,-0.23,,560.5,,,,,,2.8,+0.6/-0.6,>1730,1602,,0.21,,2.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",109,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57628.463248953,174.89,-0.23,,560.5,,,,,,1.5,+0.7/-0.7,>1730,1577,,0.09,,1.1E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",129,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57628.480504366,174.89,-0.23,,560.5,,,,,,1.45,+0.02/-0.02,>1730,1184,,0.6,,2.5E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",154,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57638.472988925,174.89,-0.23,,560.5,,,,,,1.9,+0.4/-0.4,>1730,1513,,0.17,,3.0E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",162,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57638.481457833,174.89,-0.23,,560.5,,,,,,4.8,+0.8/-0.8,>1730,1501,,0.3,,5.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",187,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57640.467269551,174.89,-0.23,,560.5,,,,,,1.8,+0.3/-0.3,>1730,1285,,0.09,,3.7E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",213,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57641.458887388,174.89,-0.23,,560.5,,,,,,5.3,+0.8/-0.8,1716,1412,,0.2,,5.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",240,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57644.410081666,174.89,-0.23,,560.5,,,,,,2.6,+0.4/-0.4,>1730,1463,,0.16,,3.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",272,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57644.447572196,174.89,-0.23,,560.5,,,,,,4.2,+0.7/-0.7,>1730,1412,,0.08,,2.0E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",288,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57644.465671824,174.89,-0.23,,560.5,,,,,,5,+2/-2,>1730,1437,,0.1,,2.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",297,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.41192596,174.89,-0.23,,560.5,,,,,,4,+1/-1,1602,1209,,0.1,,3.3E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",311,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.421293624,174.89,-0.23,,560.5,,,,,,7,+1/-1,>1730,1437,,0.19,,4.8E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",315,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.421883133,174.89,-0.23,,560.5,,,,,,5.4,+0.7/-0.7,>1730,1589,,0.44,,5.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",334,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.4318793,174.89,-0.23,,560.5,,,,,,1.5,+0.4/-0.4,>1730,1475,,0.06,,1.2E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",337,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.433642421,174.89,-0.23,,560.5,,,,,,6,+2/-2,>1730,1412,,0.09,,2.4E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
https://fastlab-imgs.zero2x.org/img/plain/blinkverse/data/frb/frb20121102a_361.jpg,361,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57645.460058509,174.89,-0.23,,560.5,,,,,,10,+2/-2,>1730,<1150,,3.05,,1.6E39,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",389,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57646.432152691,174.89,-0.23,,560.5,,,,,,4.7,+0.7/-0.7,>1730,1615,,0.61,,6.5E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",426,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57649.402088105,174.89,-0.23,,560.5,,,,,,6,+1/-1,1539,1311,,0.32,,3.0E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",431,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57649.418685454,174.89,-0.23,,560.5,,,,,,9,+1/-1,1336,<1150,,0.34,,3.6E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",447,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57649.454126645,174.89,-0.23,,560.5,,,,,,5,+1/-1,>1730,1475,,0.61,,2.9E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",466,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57650.443053488,174.89,-0.23,,560.5,,,,,,2.22,+0.04/-0.04,>1730,1463,,1.02,,2.5E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",484,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57666.377627586,174.89,-0.23,,560.5,,,,,,4.1,+0.9/-0.9,>1730,1602,,0.22,,2.4E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",499,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57666.403507575,174.89,-0.23,,560.5,,,,,,4,+1/-1,1412,1171,,0.1,,1.9E37,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
"",501,FRB20121102A,Arecibo,,Yes,ALFA,1225-1525,57666.404362343,174.89,-0.23,,560.5,,,,,,11,+1/-1,1716,<1150,,0.25,,1.2E38,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stac1960
