tns_name,previous_name,repeater_name,ra_1,ra_1_err_low,ra_1_err_up,ra_2,ra_2_err_low,ra_2_err_up,ra_notes,dec_1,dec_1_err_low,dec_1_err_up,dec_2,dec_2_err_low,dec_2_err_up,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_90,up_ft_90,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_1_ne2001,dm_exc_2_ne2001,dm_exc_1_ymw16,dm_exc_2_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,R_cc
FRB20190110C,-9999,FRB20190110C,249.325,0.011,0.011,-9999,-9999,-9999,-9999,41.4450,0.0093,0.0093,-9999,-9999,-9999,-9999,65.58,42.09,45,11,-9999,-9999,-9999,-9999,15.58,221.6,-9999,1.2,-9999,1.4,27.76,221.921,0.010,184.9,-9999,192.0,-9999,0.00295,<0.0015,-9999,0.64,0.39,-9999,1.40,0.76,-9999,0,58493.7,0.0,58493.716334154320000,0.000000000000036,0.000752,0.000038,28.2,4.2,-202,27,477.7,400.2,427.4,283435.026,283018,54.541,0.021
FRB20200118D,-9999,FRB20200118D,106.909,0.012,0.012,-9999,-9999,-9999,-9999,42.8374,0.0095,0.0095,-9999,-9999,-9999,-9999,174.45,20.86,71.8,4.9,-9999,-9999,-9999,-9999,19.45,624.4,-9999,1.2,-9999,1.4,27.64,625.569,0.027,548.9,-9999,534.0,-9999,0.00885,0.00102,0.00010,0.118,0.055,-9999,0.80,0.20,-9999,0,58866.30273105,0.00000014,58866.30254347,0.00000014,0.00085,0.00018,6.7,2.4,-65,12,509.2,400.2,421.6,381274.816,381741,38.684,0.038
FRB20181226F,-9999,FRB20181226F,95.87,0.31,0.23,-9999,-9999,-9999,-9999,83.80,0.16,0.47,-9999,-9999,-9999,-9999,129.79,26.21,390,190,-9999,380,220,-9999,24.81,237.8,10.6,4.8,16.3,7.0,38.22,236.42,-9999,178.7,-9999,179.9,-9999,0.00492,0.00343,0.00033,3.0,1.7,-9999,11.3,6.1,-9999,0,58478.327656923764000,0.000000000000020,58478.32758602977,0.00000000082,0.000444,0.000076,3.29,0.75,-5.73,0.94,800.2,400.2,533.4,463029.409,461351,50.598,0.049
FRB20191013D,-9999,FRB20191013D,40.418,0.019,0.019,-9999,-9999,-9999,-9999,13.626,0.026,0.026,-9999,-9999,-9999,-9999,159.66,-41.25,67.00,0.96,-9999,-9999,-9999,-9999,13.78,530.5,-9999,8.9,-9999,11.3,19.61,524.042,0.034,481.0,-9999,488.2,-9999,0.01475,<0.0096,-9999,1.08,0.71,-9999,7.2,4.0,-9999,0,58769.38854083809000,0.00000000000013,58769.38838369630000,0.00000000000017,0.00479,0.00052,34.5,6.8,-32.6,6.4,800.2,521.5,676.9,525098.799,521829,44.122,0.051
FRB20191114A,-9999,FRB20191114A,273.574,0.031,0.031,-9999,-9999,-9999,-9999,19.799,0.038,0.038,-9999,-9999,-9999,-9999,46.97,16.83,61.1,4.5,-9999,-9999,-9999,-9999,11.2,549.9,-9999,2.1,-9999,2.7,15.63,552.279,0.066,454.2,-9999,472.7,-9999,0.01278,<0.0087,-9999,1.2,1.0,-9999,3.4,1.5,-9999,0,58801.94613519427400,0.00000000000023,58801.94596958521000,0.00000000000033,0.00435,0.00045,41.5,8.8,-140,29,527.4,408.1,464.0,443925.431,453087,51.483,0.066
FRB20190113A,-9999,FRB20190113A,108.26,0.26,0.29,106.56,0.80,0.78,-9999,-2.98,0.52,0.51,-3.01,0.56,0.54,-9999,0.0,0.0,40,25,-9999,-9999,-9999,-9999,10.93,430.3,-9999,5.0,-9999,8.3,12.55,428.924,0.012,251.0,242.3,178.1,154.2,0.00688,<0.0036,-9999,1.10,0.97,-9999,5.7,4.0,-9999,0,58496.31981280796000,0.00000000000033,58496.31968418897000,0.00000000000033,0.00182,0.00021,7.3,6.4,-2.8,6.0,800.2,491.9,800.2,288553.329,287540,53.815,0.13
FRB20200913C,-9999,FRB20200913C,269.027,0.064,0.064,-9999,-9999,-9999,-9999,65.805,0.031,0.031,-9999,-9999,-9999,-9999,95.51,30.21,156.5,3.3,-9999,-9999,-9999,-9999,17.19,577.4,-9999,1.8,-9999,2.2,24.15,577.3779,0.0039,529.5,-9999,534.9,-9999,0.00098,<0.0011,-9999,0.70,0.37,-9999,0.54,0.25,-9999,0,59105.095230931690000,0.000000000000020,59105.095057796480000,0.000000000000024,0.000540,0.000032,31.9,3.5,-84.6,9.2,568.7,406.5,480.8,305588.37,304070,51.16,0.18
FRB20200926A,-9999,FRB20200926A,283.28,0.20,0.18,-9999,-9999,-9999,-9999,53.95,0.31,0.30,-9999,-9999,-9999,-9999,83.73,21.4,67,43,-9999,-9999,-9999,-9999,11.22,760.2,-9999,0.5,-9999,0.9,20.29,758.297,0.058,694.5,-9999,698.9,-9999,0.01573,<0.0031,-9999,0.24,0.15,-9999,2.2,1.1,-9999,0,59118.103186883990000,0.000000000000054,59118.102959536554000,0.000000000000090,0.00156,0.00025,61,10,-215,36,508.2,416.0,459.8,490711.672,490132,47.516,0.22
FRB20200926A,-9999,FRB20200926A,283.28,0.20,0.18,-9999,-9999,-9999,-9999,53.95,0.31,0.30,-9999,-9999,-9999,-9999,83.73,21.4,67,43,-9999,-9999,-9999,-9999,11.22,760.2,-9999,0.5,-9999,0.9,20.29,758.297,0.058,694.5,-9999,698.9,-9999,0.01573,<0.0031,-9999,0.24,0.15,-9999,2.2,1.1,-9999,1,59118.10318698609000,0.00000000000013,59118.10295963865000,0.00000000000015,0.00197,0.00035,32,10,-206,60,470.2,400.2,427.5,490711.672,490132,47.516,0.22
FRB20180910A,-9999,FRB20180910A,354.83,0.87,0.87,-9999,-9999,-9999,-9999,89.014,0.011,0.011,-9999,-9999,-9999,-9999,122.59,26.19,3910,270,-9999,4335,26,-9999,36.65,684.2,30.7,19.1,38.0,24.3,50.38,684.4081,0.0012,628.3,-9999,629.7,-9999,0.00098,0.000244,0.000029,6.5,3.2,-9999,5.6,3.0,-9999,0,58371.337577180726000,0.000000000000029,58371.337371950960000,0.000000000000029,0.000205,0.000029,0.05,0.53,-0.53,0.63,800.2,400.2,417.6,135823.872,134076,56.927,0.43
FRB20190303D,-9999,FRB20190303D,185.339,0.067,0.067,-9999,-9999,-9999,-9999,70.691,0.024,0.024,-9999,-9999,-9999,-9999,126.52,46.23,55,44,-9999,141.7,2.7,-9999,9.78,710.1,16.7,2.8,21.2,3.4,11.16,711.151,0.014,674.5,-9999,682.5,-9999,0.00295,<0.0016,-9999,0.59,0.35,-9999,1.17,0.67,-9999,0,58545.39157110989600,0.00000000000025,58545.39135784059000,0.00000000000028,0.00081,0.00010,-0.9,2.2,-5.6,4.8,564.8,400.2,440.8,328339.172,328732,47.198,0.62
FRB20181201D,-9999,FRB20181201D,266.9,1.0,1.0,-9999,-9999,-9999,-9999,89.125,0.013,0.013,-9999,-9999,-9999,-9999,121.98,27.37,3590,290,-9999,4359,14,-9999,16.2,448.0,4.2,2.7,5.0,3.3,16.8,448.266,0.014,394.5,-9999,397.4,-9999,0.00197,0.000168,0.000044,0.56,0.47,-9999,1.4,1.1,-9999,0,58453.7477849844,0.0000000015,58453.7476505652,0.0000000015,0.00022,0.00018,5.6,3.6,-56,15,515.3,400.2,420.7,147096.312,146673,52.881,0.64
FRB20190328C,-9999,FRB20190328C,75.649,0.37,0.095,-9999,-9999,-9999,-9999,82.11,0.19,0.24,-9999,-9999,-9999,-9999,130.57,23.32,310,160,-9999,290,160,-9999,18.25,470.7,5.7,1.8,8.5,2.8,21.65,472.8607,0.0075,408.8,-9999,406.4,-9999,0.00393,0.00230,0.00034,4.7,2.3,-9999,14.9,7.1,-9999,0,58570.51750613305000,0.00000000000011,58570.51736433885500,0.00000000000011,0.00077,0.00014,0.7,1.2,-2.7,1.5,800.2,400.2,459.0,500293.147,499256,46.539,0.71
FRB20191105B,-9999,FRB20191105B,84.106,0.059,0.059,-9999,-9999,-9999,-9999,72.519,0.017,0.017,-9999,-9999,-9999,-9999,140.6,20.42,163,15,-9999,160.6,0.0,"The best-known sky position of this source falls in between the FWHMs at 600 MHz of the synthesized beams. We report the exposure at the beam centre of the nearest beam, and hence the exposure error is zero.",18.34,318.6,51.1,3.1,64.5,3.8,21.03,318.6134,0.0033,245.1,-9999,234.9,-9999,0.00197,<0.0014,-9999,1.89,0.95,-9999,2.7,1.3,-9999,0,58792.444509198710000,0.000000000000066,58792.444413657824000,0.000000000000067,0.000708,0.000048,0.10,0.95,-0.1,1.3,800.2,400.2,504.3,332745.324,339144,45.526,0.73
FRB20190107B,-9999,FRB20190107B,49.31,0.11,1.2,22.37,0.80,0.27,-9999,83.40,0.72,0.13,83.370,0.39,0.079,-9999,0.0,0.0,360,190,-9999,330,200,-9999,20.62,166.6,0.4,0.2,0.6,0.3,26.84,166.0939,0.0030,98.2,93.7,93.0,85.2,0.00098,<0.00090,-9999,2.8,1.7,-9999,4.3,2.5,-9999,0,58490.14044361734000,0.00000000000011,58490.14039381166000,0.00000000000011,0.000451,0.000024,-1.30,0.86,-3.1,1.6,784.4,400.2,400.2,126924.469,122525,60.638,0.78
FRB20200320A,-9999,FRB20200320A,42.451,0.041,0.016,-9999,-9999,-9999,-9999,15.844,0.055,0.067,-9999,-9999,-9999,-9999,160.2,-38.32,59,11,-9999,-9999,-9999,-9999,81.86,592.0,-9999,8.7,-9999,11.0,284.81,594.9314,0.0023,549.3,-9999,555.8,-9999,0.0059,0.002461,0.000032,19.0,6.6,-9999,114,37,-9999,0,58928.9545053710500000,0.0000000000000059,58928.954326972180000,0.000000000000010,0.001186,0.000023,3.553,0.089,-10.37,0.15,760.8,400.2,474.9,561972.98,517268,44.611,0.92
FRB20190210C,-9999,FRB20190210C,313.90,0.26,0.13,-9999,-9999,-9999,-9999,89.19,0.47,0.21,-9999,-9999,-9999,-9999,122.16,26.71,3400,1200,-9999,3090,960,-9999,19.69,642.1,2.6,1.7,3.4,2.2,27.31,643.3669,0.0025,589.5,-9999,592.2,-9999,0.00197,0.000250,0.000043,2.37,0.81,-9999,3.6,1.2,-9999,0,58524.25258585202000,0.00000000000014,58524.25239292905000,0.00000000000014,0.000286,0.000051,0.35,0.83,-1.5,1.1,800.2,400.2,448.5,310287.093,310719,50.092,1.05
FRB20190812A,-9999,FRB20190812A,268.05,0.11,0.22,-9999,-9999,-9999,-9999,50.707,0.024,0.024,-9999,-9999,-9999,-9999,78.06,29.8,81,26,-9999,-9999,-9999,-9999,64.03,253.9,-9999,0.9,-9999,1.2,76.75,254.5239,0.0018,206.1,-9999,213.3,-9999,0.00295,0.000494,0.000031,4.3,1.5,-9999,13.0,4.4,-9999,0,58707.1911567875700000,0.0000000000000069,58707.1910804648500000,0.0000000000000093,0.000601,0.000024,-0.57,0.27,-3.94,0.44,800.2,400.2,400.2,275872.598,271047,56.464,1.37
FRB20200828A,-9999,FRB20200828A,114.08,0.20,0.44,-9999,-9999,-9999,-9999,80.021,0.11,0.095,-9999,-9999,-9999,-9999,134.1,28.63,240,130,-9999,220,130,-9999,9.86,559.7,1.6,0.4,2.4,0.5,11.49,561.310,0.046,507.7,-9999,511.0,-9999,0.00885,<0.0062,-9999,0.59,0.33,-9999,3.4,1.3,-9999,0,59089.73891134559400,0.00000000000013,59089.73874302854500,0.00000000000021,0.00311,0.00057,3.3,1.9,-5.4,2.7,800.2,400.2,534.7,487495.205,486204,47.937,1.6
FRB20190905A,-9999,FRB20190905A,73.271,0.029,0.059,-9999,-9999,-9999,-9999,88.236,0.055,0.071,-9999,-9999,-9999,-9999,124.64,26.25,5400,980,-9999,3900,1300,-9999,9.7,253.9,0.6,0.4,0.8,0.6,16.48,254.111,0.020,197.0,-9999,198.7,-9999,0.00393,<0.0023,-9999,0.37,0.28,-9999,1.79,0.68,-9999,0,58731.384191504220000,0.000000000000041,58731.384115305240000,0.000000000000082,0.00113,0.00016,26.3,4.7,-58.9,9.8,613.3,413.6,503.7,286915.779,287198,53.87,2.21
FRB20190127B,-9999,FRB20190127B,169.263,0.082,0.059,-9999,-9999,-9999,-9999,83.506,0.083,0.083,-9999,-9999,-9999,-9999,126.03,33.05,350,190,-9999,360,200,-9999,11.51,666.4,0.3,0.1,0.4,0.1,18.79,663.028,0.048,615.4,-9999,621.2,-9999,0.06783,0.0428,0.0066,0.63,0.54,-9999,11.4,5.8,-9999,0,58510.39121647182000,0.00000000000020,58510.39101765327000,0.00000000000026,0.0025,0.0011,5.3,1.8,-7.7,2.2,800.2,400.2,562.2,3054647.692,3054187,48.505,2.67
FRB20210323C,-9999,FRB20210323C,122.07,0.38,0.11,-9999,-9999,-9999,-9999,72.35,0.14,0.39,-9999,-9999,-9999,-9999,142.57,31.55,135,78,-9999,108,60,-9999,11.52,288.3,31.8,3.6,53.5,6.0,18.85,288.48,-9999,238.0,-9999,243.1,-9999,0.00197,<0.0016,-9999,0.80,0.41,-9999,2.32,0.71,-9999,0,59296.163551160730000,0.000000000000016,59296.1634646558,0.0000000010,0.000825,0.000070,24.7,3.6,-51.2,7.1,609.6,412.4,501.4,310638.609,310112,50.189,2.99
FRB20180909A,-9999,FRB20180909A,120.04,0.17,0.30,-9999,-9999,-9999,-9999,57.004,0.071,0.059,-9999,-9999,-9999,-9999,160.63,31.71,75,45,-9999,-9999,-9999,-9999,11.03,407.6,-9999,0.1,-9999,0.1,13.86,408.647,0.080,356.2,-9999,360.1,-9999,0.01573,<0.013,-9999,0.43,0.24,-9999,0.90,0.50,-9999,0,58370.70598114899600,0.00000000000021,58370.70585861017000,0.00000000000035,0.00631,0.00093,-0.3,1.4,-1.3,2.2,800.2,400.2,400.2,256401.455,256250,0.441,3.93
